지급대기일자,고객명,상담(체결)담당자,고객연락처,상태변경일,현재상담상태,딜러유형,딜러아이디,딜러이름,보험료,가입보험사,기존보험사
2026-07-23,임*웅,박순미,010****3391,2026-09-01,JOIN_COMPLETED,CM,twlim0604,임*우,746820,HYUNDAI,KB
2026-07-20,박*열,송민선,010****3709,2026-09-01,JOIN_COMPLETED,CM,hhh9243,한*수,669080,HANA,SAMSUNG
2026-07-16,문*원,송민선,010****6448,2026-09-01,JOIN_COMPLETED,CM,kimyc31,김*찬,512680,HANA,HYUNDAI
2026-07-10,김*순,김경선,010****2984,2026-09-01,JOIN_COMPLETED,CM,toughhooon,조*,2331420,HANA,HYUNDAI
2026-07-28,이*희,신영란,010****9071,2026-09-01,JOIN_COMPLETED,TM,ldg3210,이*근,1623580,HYUNDAI,KB
2026-07-06,정*리,이선이,010****6154,2026-09-01,JOIN_COMPLETED,CM,happy1004hp,황*문,896010,HYUNDAI,KB
2026-07-03,기*현,이선이,010****6176,2026-09-01,JOIN_COMPLETED,CM,ksl3115,권*일,699570,HANA,HANHWA
2026-07-30,구*훈,이선,010****6355,2026-09-01,JOIN_COMPLETED,TM,adsl239,이*희,879120,DB,HYUNDAI
2026-07-30,박*진,이선이,010****4724,2026-09-01,JOIN_COMPLETED,CM,yaslelee,최*면,597970,HYUNDAI,HEUNGKUK
2026-07-15,박*호,정혜령,010****1696,2026-09-01,JOIN_COMPLETED,CM,skkim01,김*기,736060,HYUNDAI,SAMSUNG
2026-07-30,선**영,신영란,010****5915,2026-09-01,JOIN_COMPLETED,CM,pk50257,고*석,787620,HYUNDAI,DB
2026-07-27,최*삼,최현정,010****9104,2026-09-01,JOIN_COMPLETED,TM,ohyee5,오*명,789040,HANHWA,KB
2026-07-20,한*수,송민선,010****9243,2026-09-01,JOIN_COMPLETED,CM,hhh9243,한*수,1514010,DB,HYUNDAI
2026-07-14,이*수,최현정,010****5403,2026-09-01,JOIN_COMPLETED,CM,lamp1250,이*연,894250,KB,DB
2026-07-27,정*길,이선이,010****3277,2026-09-01,JOIN_COMPLETED,CM,dyddyddlddl,곽*호,1251250,KB,HYUNDAI
2026-07-16,이*민,이선이,010****9702,2026-09-01,JOIN_COMPLETED,CM,shadowformi,이*헌,1703810,HYUNDAI,SAMSUNG
2026-07-10,김*현,이선이,010****4728,2026-09-01,JOIN_COMPLETED,CM,kbs5820,고*삼,962860,DB,HEUNGKUK
2026-07-22,필*환,송민선,010****7784,2026-09-01,JOIN_COMPLETED,CM,ngh0000,남*환,1028720,KB,HYUNDAI
2026-07-14,강*성,최현정,010****6764,2026-09-01,JOIN_COMPLETED,CM,haa2680,최*은,565020,HYUNDAI,DB
2026-07-28,정*평,김경선,010****6731,2026-09-01,JOIN_COMPLETED,CM,bang1981,방*신,1273830,HYUNDAI,KB
2026-07-23,김*숙,최현정,010****7088,2026-09-01,JOIN_COMPLETED,CM,choihj8957,최** ,744750,KB,DB
2026-07-15,최*일,정혜령,010****6373,2026-09-01,JOIN_COMPLETED,CM,kenzobb,오*현,1258520,HANHWA,HYUNDAI
2026-07-31,김*용,최현정,010****1301,2026-09-01,JOIN_COMPLETED,TM,haraah,박*민,1296880,HYUNDAI,DB
2026-07-29,한*희,송민선,010****6090,2026-09-01,JOIN_COMPLETED,CM,,아*당,989790,DB,KB
2026-07-21,연*훈,정혜령,010****3382,2026-09-01,JOIN_COMPLETED,CM,yongary78,연*훈,420620,DB,HANA
2026-07-16,유*은,정혜령,010****2557,2026-09-01,JOIN_COMPLETED,CM,lovely00eu,임*삼,496240,HYUNDAI,DB
2026-07-31,고*국,송민선,010****2394,2026-09-01,JOIN_COMPLETED,CM,ktrust11,김*우,1988350,HYUNDAI,DB
2026-07-31,이*연,이선,010****6959,2026-09-01,JOIN_COMPLETED,CM,asdfg3381,신*규,4040550,DB,HYUNDAI
2026-07-30,박*현,이선,010****4552,2026-09-01,JOIN_COMPLETED,TM,tjdgus3553,박*현,822960,HANA,HYUNDAI
2026-07-28,탁*욱,이선이,010****7013,2026-09-01,JOIN_COMPLETED,CM,ash226,안*호,1190030,HYUNDAI,KB
2026-08-21,강*성,박순미,010****4222,2026-08-21,JOIN_COMPLETED,CM,,,1031990,HYUNDAI,
2026-07-22,(************아,김미희,010****2557,2026-08-14,JOIN_COMPLETED,TM,city123,김*성,3705890,HYUNDAI,
2026-06-23,박*욱,신영란,010****7016,2026-07-29,JOIN_COMPLETED,CM,sekwon12,박*권,922330,DB,HYUNDAI
2026-06-26,노*태,송민선,010****6436,2026-07-29,JOIN_COMPLETED,CM,swyang,양*원,1140410,HANHWA,DB
2026-06-22,석*애,정혜령,010****5242,2026-07-29,JOIN_COMPLETED,CM,uksclub,도*욱,910520,HYUNDAI,DB
2026-06-19,이*훈,정혜령,010****5650,2026-07-29,JOIN_COMPLETED,CM,kenzobb,오*현,560560,HANA,DB
2026-06-18,지*재,박순미,010****3853,2026-07-29,JOIN_COMPLETED,CM,,아*당,587440,HANA,HYUNDAI
2026-06-30,박*현,최현정,010****3071,2026-07-29,JOIN_COMPLETED,CM,1088518200,이*긍,512310,HYUNDAI,KB
2026-06-29,이*현,최현정,010****5162,2026-07-29,JOIN_COMPLETED,CM,hsn4353,이*희,1046200,KB,HEUNGKUK
2026-06-25,황*국,박순미,010****9994,2026-07-29,JOIN_COMPLETED,TM,jhdzz2003,정*도,1166400,HANHWA,HYUNDAI
2026-06-24,푸*********빗,정혜령,010****6088,2026-07-29,JOIN_COMPLETED,TM,,최*현,1783960,HYUNDAI,HANHWA
2026-06-29,강*경,이선이,010****2668,2026-07-29,JOIN_COMPLETED,CM,johnkwang,박*인,1321770,HANA,KB
2026-07-24,임*빈,송민선,010****0503,2026-07-24,JOIN_COMPLETED,CM,lsh4885,이*현,1176640,HYUNDAI,HYUNDAI
2026-07-09,정*택,신영란,010****1215,2026-07-09,JOIN_COMPLETED,CM,,,858100,KB,HEUNGKUK
